address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,event_date,detec_date,gross_loss,indirect_loss,net_loss,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Avenida Marechal Craveiro Lopes Lisbon,BANCO NACIONAL DE CREDITO IMOBILIARIO,NCI16,-9.14026,38.76319,Lumiar,12,640.774376494,932.495412391,50,0.1558,35,5,9,2010-02-22 15:45:00,2010-03-07 17:00:00,5030,0,5030,1,1,5,1,2,2,2,1
Estrada Benfica 158 Lisbon,BANCO NACIONAL DE CREDITO IMOBILIARIO,NCI31,-9.18781,38.747,Carnide,10,595.160921456,903.655573948,44,27.1257,33,13,18,2013-01-01 14:00:00,2013-05-15 00:00:00,100000,0,100000,1,1,4,4,2,3,2,1
Rua Amelia Rey Colaco 3 Lisbon,SOCIEDADE INTERBANCARIA,SI04,-9.20414,38.75235,Benfica,7,691.67323085,857.743980884,38,25.6829,37,10,9,2012-07-15 12:30:00,2012-07-20 13:15:00,157,0,0,1,1,3,3,2,3,2,1
Avenida Lusiada Lisbon,SOCIEDADE INTERBANCARIA,SI12,-9.18017,38.75002,Carnide,10,676.242304325,851.816370282,60,4.0355,30,7,18,2011-01-03 17:30:00,2011-01-10 20:00:00,80,0,80,1,1,6,1,1,2,2,1
Estrada Luz 90 Lisbon,SOCIEDADE INTERBANCARIA,SI17,-9.17287,38.75028,Carnide,10,808.486545039,1379.21739872,52,1.5568,34,9,18,2013-05-09 06:00:00,2013-05-09 07:00:00,15000,0,0,1,0,5,1,2,2,2,1
Rua Professor Reinaldo Dos Santos Lote 1 Lisbon,BANCO SANTANDER TOTTA,ST13,-9.18873,38.74751,Carnide,10,550.331568192,853.583819623,44,17.0117,30,13,18,2012-04-01 18:00:00,2012-05-25 10:00:00,5550,0,5550,1,1,4,3,1,3,2,1
Estrada De Benfica 310-336 Lisbon,BANCO SANTANDER TOTTA,ST15,-9.17723,38.74395,Campolide,9,924.801579159,1209.85357534,50,23.8901,35,7,18,2012-04-03 11:00:00,2012-04-04 12:00:00,15000,300,300,1,1,5,3,2,2,2,1
Avenida Marechal Craveiro Lopes Lisbon,BANCO SANTANDER TOTTA,ST18,-9.14026,38.76319,Lumiar,12,640.774376494,932.495412391,50,0.1558,35,5,9,2014-08-05 16:00:00,2014-08-07 16:00:00,4900,0,4900,1,1,5,1,2,2,2,1
Acesso Da Avenida General Norton De Matos Lisbon,BANCO SANTANDER TOTTA,ST21,-9.17209,38.75746,Lumiar,12,14.2596968067,852.822066867,56,8.0558,33,10,9,2012-07-06 03:45:00,2012-07-06 03:55:00,15000,0,0,1,0,5,2,2,3,2,1
Avenida Do Brasil 101 Lisbon,BANCO SANTANDER TOTTA,ST28,-9.14138,38.75864,Alvalade,2,646.959919762,1101.61952017,58,0.0,37,4,9,2013-05-17 18:45:00,2013-05-23 17:00:00,50,0,50,1,1,6,1,2,1,2,1
Avenida Professor Egas Moniz Lisbon,BANCO SANTANDER TOTTA,ST35,-9.16161,38.75009,Avenidas Novas,5,724.470390644,1292.0561817,50,0.0039,45,6,9,2015-08-23 13:00:00,2015-08-23 15:00:00,500,0,500,1,1,5,1,3,2,2,1
Circular Norte Lisbon,BANCO SANTANDER TOTTA,ST40,-9.11905,38.77632,Olivais,15,776.70836882,1073.12631611,22,5.0162,30,22,9,2012-06-03 04:00:00,2012-06-03 04:15:00,10000,0,0,1,0,1,1,1,5,2,1
Estrada De Benfica 310-336 Lisbon,BANCO SANTANDER TOTTA,ST47,-9.17723,38.74395,Campolide,9,924.801579159,1209.85357534,50,23.8901,35,7,18,2015-12-25 01:15:00,2015-12-25 13:00:00,1000,0,1000,1,1,5,3,2,2,2,1
